name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"25740, mexico",2021-12-21T00:00:00,,9.8,,,,,,,,,,,,,,,,,,,,
"25740, mexico",2021-12-21T01:00:00,,9.8,,,,,,,,,,,,,,,,,,,,
"25740, mexico",2021-12-21T02:00:00,,9.8,,,,,,,,,,,,,,,,,,,,
"25740, mexico",2021-12-21T03:00:00,,9.8,,,,,,,,,,,,,,,,,,,,
"25740, mexico",2021-12-21T04:00:00,,9.8,,,,,,,,,,,,,,,,,,,,
"25740, mexico",2021-12-21T05:00:00,,9.8,,,,,,,,,,,,,,,,,,,,
"25740, mexico",2021-12-21T06:00:00,9.8,9.8,3.2,63.5,0.0,0.0,,0.0,0.0,2.2,2.2,278.3,1020.0,0.0,24.1,0.0,0.0,0.0,10.0,Clear,clear-night,
"25740, mexico",2021-12-21T07:00:00,8.0,5.4,4.0,75.85,,,,,,,14.8,180.0,1022.0,0.0,16.0,,,0.0,,Clear,clear-night,MMMV
"25740, mexico",2021-12-21T08:00:00,14.7,14.7,2.7,44.2,0.0,0.0,,0.0,0.0,4.3,3.6,234.2,1021.0,0.0,24.1,51.0,0.2,1.0,10.0,Clear,clear-day,
"25740, mexico",2021-12-21T09:00:00,17.1,17.1,2.2,36.5,0.0,0.0,,0.0,0.0,7.2,4.3,256.4,1021.0,0.0,24.1,125.0,0.5,1.0,10.0,Clear,clear-day,
"25740, mexico",2021-12-21T10:00:00,19.1,19.1,1.7,31.2,0.0,0.0,,0.0,0.0,10.1,5.8,260.3,1020.0,5.8,24.1,203.0,0.7,2.0,10.0,Clear,clear-day,
"25740, mexico",2021-12-21T11:00:00,21.0,21.0,1.0,26.3,0.0,0.0,,0.0,0.0,10.8,7.2,279.2,1019.0,64.0,24.1,274.0,1.0,3.0,10.0,Partially cloudy,partly-cloudy-day,
